Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1PauseYoungNormal,Long Statement,The length of the statement "InputStream in=new ByteArrayInputStream(("[2022-04-19T19:34:40.899+0000][23ms][info][gc`init] Heap Region Size: 2M\n" + "[2022-01-29T16:34:51.601+0000][192ms][info][gc`start ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)\n" + "[2022-01-29T16:34:51.601+0000][192ms][info][gc`task ] GC(0) Using 1 workers of 1 for evacuation\n"+ "[2022-01-29T16:34:51.608+0000][199ms][info][gc`phases ] GC(0) Pre Evacuate Collection Set: 0.2ms\n"+ "[2022-01-29T16:34:51.608+0000][199ms][info][gc`phases ] GC(0) Merge Heap Roots: 0.2ms\n"+ "[2022-01-29T16:34:51.609+0000][200ms][info][gc`phases ] GC(0) Evacuate Collection Set: 4.8ms\n"+ "[2022-01-29T16:34:51.609+0000][200ms][info][gc`phases ] GC(0) Post Evacuate Collection Set: 1.0ms\n"+ "[2022-01-29T16:34:51.609+0000][200ms][info][gc`phases ] GC(0) Other: 0.9ms\n"+ "[2022-01-29T16:34:51.609+0000][201ms][info][gc`heap ] GC(0) Eden regions: 2->0(1)\n"+ "[2022-01-29T16:34:51.610+0000][201ms][info][gc`heap ] GC(0) Survivor regions: 0->1(1)\n"+ "[2022-01-29T16:34:51.610+0000][201ms][info][gc`heap ] GC(0) Old regions: 0->1\n"+ "[2022-01-29T16:34:51.610+0000][201ms][info][gc`heap ] GC(0) Archive regions: 2->2\n"+ "[2022-01-29T16:34:51.610+0000][202ms][info][gc`heap ] GC(0) Humongous regions: 0->0\n"+ "[2022-01-29T16:34:51.611+0000][202ms][info][gc`metaspace] GC(0) Metaspace: 257K(448K)->257K(448K) NonClass: 242K(320K)->242K(320K) Class: 15K(128K)->15K(128K)\n"+ "[2022-01-29T16:34:51.611+0000][203ms][info][gc ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 2M->2M(18M) 10.669ms\n"+ "[2022-01-29T16:34:51.612+0000][203ms][info][gc`cpu ] GC(0) User=0.00s Sys=0.00s Real=0.01s\n").getBytes());" is 1638.,50
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1PauseYoungNormal,Magic Number,The method contains a magic number: 2,50
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1PauseYoungNormal,Magic Number,The method contains a magic number: 2048,50
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1PauseYoungNormal,Magic Number,The method contains a magic number: 3,50
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1PauseYoungNormal,Magic Number,The method contains a magic number: 2048,50
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1FullConcurrentMarkCycle,Magic Number,The method contains a magic number: 11,87
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1FullConcurrentMarkCycle,Magic Number,The method contains a magic number: 0.077704,87
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1FullConcurrentMarkCycle,Magic Number,The method contains a magic number: 0.000001,87
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1ConcurrentUndoCycle,Long Statement,The length of the statement "InputStream in=new ByteArrayInputStream(("[2022-04-19T19:34:58.116+0000][17241ms][info][gc ] GC(822) Concurrent Undo Cycle\n" + "[2022-04-19T19:34:58.117+0000][17241ms][info][gc`marking ] GC(822) Concurrent Cleanup for Next Mark\n" + "[2022-04-19T19:34:58.118+0000][17243ms][info][gc`marking ] GC(822) Concurrent Cleanup for Next Mark 1.819ms\n"+ "[2022-04-19T19:34:58.119+0000][17243ms][info][gc ] GC(822) Concurrent Undo Cycle 2.662ms\n").getBytes());" is 453.,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLG1JDK17,testG1ConcurrentUndoCycle,Magic Number,The method contains a magic number: 2,105
