Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,GCModelSeriesLoaderImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractGCModelLoaderImpl
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,GCViewerUncaughtExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,GCViewerGuiInternalFrameController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,GCModelLoaderControllerImpl,Feature Envy,The tool detected a instance of this smell because openGCResource is more interested in members of the type: GCViewerGui
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,TimeOffsetPanelController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,GCViewerGuiBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,GCModelLoaderImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.impl,GCModelLoaderImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractGCModelLoaderImpl
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,WindowMenuItemAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Arrange,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Zoom,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,About,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Refresh,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,ReadmeAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Watch,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Watch.TimerInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: refreshWatchDog; closeListener
